date,date,total_num,pos_num,neg_num,neu_num,pos_density,neg_density,neu_density
2020-06-21,2020-06-21,548,349,58,141,0.6368613138686131,0.10583941605839416,0.2572992700729927
2020-06-22,2020-06-22,583,351,68,164,0.6020583190394511,0.11663807890222985,0.28130360205831906
2020-06-23,2020-06-23,600,363,67,170,0.605,0.11166666666666666,0.2833333333333333
2020-06-24,2020-06-24,599,361,78,160,0.6026711185308848,0.1302170283806344,0.2671118530884808
2020-06-25,2020-06-25,657,376,92,189,0.5722983257229832,0.1400304414003044,0.2876712328767123
2020-06-26,2020-06-26,501,292,61,148,0.5828343313373253,0.1217564870259481,0.2954091816367265
2020-06-27,2020-06-27,684,410,97,177,0.5994152046783626,0.14181286549707603,0.25877192982456143
2020-06-28,2020-06-28,584,349,75,160,0.5976027397260274,0.1284246575342466,0.273972602739726
2020-06-29,2020-06-29,617,369,77,171,0.5980551053484603,0.12479740680713128,0.2771474878444084
2020-06-30,2020-06-30,631,351,91,189,0.5562599049128367,0.14421553090332806,0.29952456418383516
2020-07-01,2020-07-01,520,309,51,160,0.5942307692307692,0.09807692307692308,0.3076923076923077
2020-07-02,2020-07-02,560,344,73,143,0.6142857142857143,0.13035714285714287,0.25535714285714284
2020-07-03,2020-07-03,608,382,70,156,0.6282894736842105,0.11513157894736842,0.2565789473684211
2020-07-04,2020-07-04,775,453,95,227,0.584516129032258,0.12258064516129032,0.2929032258064516
2020-07-05,2020-07-05,500,305,59,136,0.61,0.118,0.272
2020-07-06,2020-07-06,435,252,61,122,0.5793103448275863,0.14022988505747128,0.28045977011494255
2020-07-07,2020-07-07,419,244,50,125,0.5823389021479713,0.11933174224343675,0.29832935560859186
2020-07-08,2020-07-08,452,256,75,121,0.5663716814159292,0.16592920353982302,0.2676991150442478
2020-07-09,2020-07-09,571,336,55,180,0.5884413309982487,0.09632224168126094,0.31523642732049034
2020-07-10,2020-07-10,575,358,67,150,0.6226086956521739,0.11652173913043479,0.2608695652173913
2020-07-11,2020-07-11,568,346,64,158,0.6091549295774648,0.11267605633802817,0.27816901408450706
2020-07-12,2020-07-12,494,299,43,152,0.6052631578947368,0.08704453441295547,0.3076923076923077
2020-07-13,2020-07-13,405,241,53,111,0.5950617283950618,0.1308641975308642,0.2740740740740741
2020-07-14,2020-07-14,463,273,61,129,0.5896328293736501,0.13174946004319654,0.2786177105831533
2020-07-15,2020-07-15,355,227,43,85,0.6394366197183099,0.12112676056338029,0.23943661971830985
2020-07-16,2020-07-16,415,238,50,127,0.5734939759036145,0.12048192771084337,0.3060240963855422
2020-07-17,2020-07-17,552,314,70,168,0.5688405797101449,0.12681159420289856,0.30434782608695654
2020-07-18,2020-07-18,535,332,47,156,0.6205607476635514,0.08785046728971962,0.29158878504672897
2020-07-19,2020-07-19,538,330,53,155,0.6133828996282528,0.09851301115241635,0.28810408921933084
2020-07-20,2020-07-20,409,256,37,116,0.6259168704156479,0.09046454767726161,0.28361858190709044
2020-07-21,2020-07-21,567,311,78,178,0.5485008818342152,0.13756613756613756,0.31393298059964725
2020-07-22,2020-07-22,552,322,70,160,0.5833333333333334,0.12681159420289856,0.2898550724637681
2020-07-23,2020-07-23,545,316,69,160,0.5798165137614679,0.12660550458715597,0.29357798165137616
2020-07-24,2020-07-24,660,380,81,199,0.5757575757575758,0.12272727272727273,0.3015151515151515
2020-07-25,2020-07-25,569,348,74,147,0.6115992970123023,0.13005272407732865,0.2583479789103691
2020-07-26,2020-07-26,478,263,56,159,0.5502092050209205,0.11715481171548117,0.33263598326359833
2020-07-27,2020-07-27,456,268,79,109,0.5877192982456141,0.17324561403508773,0.23903508771929824
2020-07-28,2020-07-28,325,182,44,99,0.56,0.13538461538461538,0.3046153846153846
2020-07-29,2020-07-29,373,225,58,90,0.6032171581769437,0.1554959785522788,0.24128686327077747
2020-07-30,2020-07-30,13,8,1,4,0.6153846153846154,0.07692307692307693,0.3076923076923077
2020-07-31,2020-07-31,327,194,45,88,0.5932721712538226,0.13761467889908258,0.2691131498470948
2020-08-01,2020-08-01,326,194,36,96,0.5950920245398773,0.11042944785276074,0.294478527607362
2020-08-02,2020-08-02,386,223,51,112,0.5777202072538861,0.13212435233160622,0.29015544041450775
2020-08-03,2020-08-03,411,251,46,114,0.610705596107056,0.11192214111922141,0.2773722627737226
2020-08-04,2020-08-04,473,265,65,143,0.5602536997885835,0.13742071881606766,0.3023255813953488
2020-08-05,2020-08-05,508,309,64,135,0.6082677165354331,0.12598425196850394,0.265748031496063
2020-08-06,2020-08-06,515,310,76,129,0.6019417475728155,0.14757281553398058,0.2504854368932039
2020-08-07,2020-08-07,593,348,71,174,0.5868465430016864,0.11973018549747048,0.2934232715008432
2020-08-08,2020-08-08,506,297,70,139,0.5869565217391305,0.1383399209486166,0.274703557312253
2020-08-09,2020-08-09,509,307,64,138,0.6031434184675835,0.12573673870333987,0.27111984282907664
2020-08-10,2020-08-10,384,235,48,101,0.6119791666666666,0.125,0.2630208333333333
2020-08-11,2020-08-11,498,288,74,136,0.5783132530120482,0.14859437751004015,0.27309236947791166
2020-08-12,2020-08-12,588,367,55,166,0.6241496598639455,0.0935374149659864,0.282312925170068
2020-08-13,2020-08-13,561,333,65,163,0.5935828877005348,0.11586452762923351,0.2905525846702317
2020-08-14,2020-08-14,650,362,84,204,0.556923076923077,0.12923076923076923,0.31384615384615383
2020-08-15,2020-08-15,610,381,64,165,0.6245901639344262,0.10491803278688525,0.27049180327868855
2020-08-16,2020-08-16,513,300,49,164,0.5847953216374269,0.09551656920077972,0.31968810916179335
2020-08-17,2020-08-17,522,301,73,148,0.5766283524904214,0.13984674329501914,0.2835249042145594
2020-08-18,2020-08-18,633,370,80,183,0.584518167456556,0.1263823064770932,0.2890995260663507
2020-08-19,2020-08-19,515,309,70,136,0.6,0.13592233009708737,0.26407766990291265
2020-08-20,2020-08-20,580,359,62,159,0.6189655172413793,0.10689655172413794,0.27413793103448275
2020-08-21,2020-08-21,515,314,62,139,0.6097087378640776,0.1203883495145631,0.26990291262135924
2020-08-22,2020-08-22,476,301,62,113,0.6323529411764706,0.13025210084033614,0.23739495798319327
2020-08-23,2020-08-23,369,214,54,101,0.5799457994579946,0.14634146341463414,0.27371273712737126
2020-08-24,2020-08-24,408,239,39,130,0.5857843137254902,0.09558823529411764,0.31862745098039214
2020-08-25,2020-08-25,407,246,43,118,0.6044226044226044,0.10565110565110565,0.28992628992628994
2020-08-26,2020-08-26,435,276,31,128,0.6344827586206897,0.07126436781609195,0.2942528735632184
2020-08-27,2020-08-27,486,286,69,131,0.588477366255144,0.1419753086419753,0.26954732510288065
2020-08-28,2020-08-28,402,229,45,128,0.5696517412935324,0.11194029850746269,0.31840796019900497
2020-08-29,2020-08-29,476,283,58,135,0.5945378151260504,0.12184873949579832,0.28361344537815125
2020-08-30,2020-08-30,405,238,52,115,0.5876543209876544,0.12839506172839507,0.2839506172839506
2020-08-31,2020-08-31,336,194,43,99,0.5773809523809523,0.12797619047619047,0.29464285714285715
2020-09-01,2020-09-01,838,524,122,192,0.6252983293556086,0.14558472553699284,0.22911694510739858
2020-09-02,2020-09-02,991,584,130,277,0.5893037336024218,0.1311806256306761,0.2795156407669021
2020-09-03,2020-09-03,898,553,108,237,0.6158129175946548,0.12026726057906459,0.2639198218262806
2020-09-04,2020-09-04,1227,727,155,345,0.5925020374898126,0.1263243683781581,0.28117359413202936
2020-09-05,2020-09-05,995,597,118,280,0.6,0.1185929648241206,0.2814070351758794
2020-09-06,2020-09-06,918,559,107,252,0.6089324618736384,0.11655773420479303,0.27450980392156865
2020-09-07,2020-09-07,940,593,98,249,0.6308510638297873,0.10425531914893617,0.2648936170212766
2020-09-08,2020-09-08,1070,664,126,280,0.6205607476635514,0.11775700934579439,0.2616822429906542
2020-09-09,2020-09-09,796,474,104,218,0.5954773869346733,0.1306532663316583,0.27386934673366836
2020-09-10,2020-09-10,350,182,48,120,0.52,0.13714285714285715,0.34285714285714286
2020-09-11,2020-09-11,322,150,35,137,0.4658385093167702,0.10869565217391304,0.4254658385093168
2020-09-12,2020-09-12,349,177,36,136,0.5071633237822349,0.10315186246418338,0.38968481375358166
2020-09-13,2020-09-13,327,157,39,131,0.4801223241590214,0.11926605504587157,0.40061162079510704
2020-09-14,2020-09-14,289,147,35,107,0.5086505190311419,0.12110726643598616,0.370242214532872
2020-09-15,2020-09-15,352,167,49,136,0.4744318181818182,0.13920454545454544,0.38636363636363635
2020-09-16,2020-09-16,292,142,39,111,0.4863013698630137,0.13356164383561644,0.3801369863013699
2020-09-17,2020-09-17,231,112,24,95,0.48484848484848486,0.1038961038961039,0.41125541125541126
2020-09-18,2020-09-18,369,184,45,140,0.4986449864498645,0.12195121951219512,0.3794037940379404
2020-09-19,2020-09-19,352,169,36,147,0.48011363636363635,0.10227272727272728,0.41761363636363635
2020-09-20,2020-09-20,264,137,24,103,0.5189393939393939,0.09090909090909091,0.39015151515151514
2020-09-21,2020-09-21,268,133,26,109,0.4962686567164179,0.09701492537313433,0.40671641791044777
2020-09-22,2020-09-22,297,140,34,123,0.4713804713804714,0.11447811447811448,0.41414141414141414
2020-09-23,2020-09-23,290,155,35,100,0.5344827586206896,0.1206896551724138,0.3448275862068966
2020-09-24,2020-09-24,301,158,22,121,0.5249169435215947,0.07308970099667775,0.4019933554817276
2020-09-25,2020-09-25,299,143,28,128,0.4782608695652174,0.09364548494983277,0.4280936454849498
2020-09-26,2020-09-26,332,166,42,124,0.5,0.12650602409638553,0.37349397590361444
2020-09-27,2020-09-27,243,112,26,105,0.4609053497942387,0.10699588477366255,0.43209876543209874
2020-09-28,2020-09-28,292,132,47,113,0.4520547945205479,0.16095890410958905,0.386986301369863
2020-09-29,2020-09-29,288,141,44,103,0.4895833333333333,0.1527777777777778,0.3576388888888889
2020-09-30,2020-09-30,230,97,45,88,0.4217391304347826,0.1956521739130435,0.3826086956521739
2020-10-01,2020-10-01,483,254,68,161,0.525879917184265,0.14078674948240166,0.3333333333333333
2020-10-02,2020-10-02,319,148,46,125,0.46394984326018807,0.14420062695924765,0.39184952978056425
2020-10-03,2020-10-03,272,131,33,108,0.48161764705882354,0.1213235294117647,0.39705882352941174
2020-10-04,2020-10-04,344,170,35,139,0.4941860465116279,0.10174418604651163,0.40406976744186046
2020-10-05,2020-10-05,308,158,44,106,0.512987012987013,0.14285714285714285,0.34415584415584416
2020-10-06,2020-10-06,306,129,51,126,0.4215686274509804,0.16666666666666666,0.4117647058823529
2020-10-07,2020-10-07,375,171,48,156,0.456,0.128,0.416
2020-10-08,2020-10-08,447,221,53,173,0.49440715883668906,0.1185682326621924,0.3870246085011186
2020-10-09,2020-10-09,488,243,64,181,0.4979508196721312,0.13114754098360656,0.3709016393442623
2020-10-10,2020-10-10,534,266,61,207,0.49812734082397003,0.11423220973782772,0.38764044943820225
2020-10-11,2020-10-11,435,238,45,152,0.5471264367816092,0.10344827586206896,0.34942528735632183
2020-10-12,2020-10-12,487,235,52,200,0.48254620123203285,0.10677618069815195,0.4106776180698152
